TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487679.000000  30.5100280288  114.3560551651  39.6778213969  -2268150.9193316237  5010322.0470069628  3219232.5282731219    1.4047    4.1890    5.8844  
487680.000000  30.5100279559  114.3560552034  39.6855859384  -2268150.9271324645  5010322.0553192608  3219232.5252572033    1.4046    4.1859    5.8794  
487681.000000  30.5100279763  114.3560552661  39.6998872720  -2268150.9372222638  5010322.0630187839  3219232.5344622680    1.4044    4.1873    5.8808  
487682.000000  30.5100279645  114.3560553096  39.7127982304  -2268150.9458874185  5010322.0720325205  3219232.5398940174    1.4043    4.1837    5.8751  
487683.000000  30.5100279739  114.3560553623  39.7083163327  -2268150.9486872694  5010322.0659490135  3219232.5385113303    1.4042    4.1770    5.8652  
487684.000000  30.5100279156  114.3560553723  39.7031938992  -2268150.9490877786  5010322.0645231754  3219232.5303456113    1.4040    4.1755    5.8624  
487685.000000  30.5100278669  114.3560554021  39.6951550590  -2268150.9499697620  5010322.0595316067  3219232.5216109087    1.4039    4.1765    5.8633  
487686.000000  30.5100277559  114.3560554342  39.6787377400  -2268150.9495182200  5010322.0510660177  3219232.5026769773    1.4037    4.1677    5.8504  
487687.000000  30.5100277132  114.3560554956  39.6867902381  -2268150.9587421184  5010322.0571461516  3219232.5026831483    1.4036    4.1713    5.8549  
487688.000000  30.5100277210  114.3560555108  39.6882085605  -2268150.9603931508  5010322.0572588742  3219232.5041470979    1.4035    4.1690    5.8510  
487689.000000  30.5100277313  114.3560555785  39.6753175380  -2268150.9614932444  5010322.0439354274  3219232.4985830537    1.4033    4.1656    5.8457  
487690.000000  30.5100277939  114.3560556442  39.6741609611  -2268150.9653785471  5010322.0372145753  3219232.5039759404    1.4032    4.1655    5.8450  
487691.000000  30.5100278092  114.3560557439  39.6766518429  -2268150.9746279134  5010322.0344348624  3219232.5067064222    1.4030    4.1679    5.8478  
487692.000000  30.5100277732  114.3560557699  39.6720533092  -2268150.9760978161  5010322.0316478796  3219232.5009284862    1.4029    4.1690    5.8487  
487693.000000  30.5100277568  114.3560557995  39.6592520243  -2268150.9745238083  5010322.0212649247  3219232.4928667992    1.4028    4.1619    5.8382  
487694.000000  30.5100278117  114.3560558139  39.6654943284  -2268150.9767268565  5010322.0227784403  3219232.5012807064    1.4026    4.1690    5.8475  
487695.000000  30.5100277816  114.3560558094  39.6533286069  -2268150.9727081531  5010322.0149548436  3219232.4922251576    1.4025    4.1591    5.8331  
487696.000000  30.5100278351  114.3560557975  39.6678530667  -2268150.9755830928  5010322.0240823794  3219232.5047113639    1.4024    4.1659    5.8420  
487697.000000  30.5100278231  114.3560558137  39.6476705559  -2268150.9701114744  5010322.0082156938  3219232.4933161242    1.4022    4.1566    5.8284  
487698.000000  30.5100277614  114.3560558326  39.6413339917  -2268150.9709428241  5010322.0056587774  3219232.4842059896    1.4021    4.1535    5.8235  
487699.000000  30.5099993333  114.3560539377  33.5507770041  -2268149.3011010149  5010318.7580376761  3219226.6768792155    1.5543    1.6441    2.5556  
487700.000000  30.5099992768  114.3560538886  33.5415644059  -2268149.2948432690  5010318.7556498349  3219226.6668040166    1.5542    1.6401    2.5491  
487701.000000  30.5100319160  114.3560560327  40.5416404055  -2268151.2118938500  5010322.4913289575  3219233.3380960184    1.4017    4.6851    6.5668  
487702.000000  30.5100296356  114.3560559091  40.0519108512  -2268151.0800078083  5010322.2287797295  3219232.8716598586    1.4015    4.3907    6.1536  
487703.000000  30.5100270817  114.3560556503  39.5133049246  -2268150.9252875792  5010321.9472424891  3219232.3542864216    1.4014    4.0658    5.6977  
487704.000000  30.5100279347  114.3560557025  39.6896510245  -2268150.9727148442  5010322.0398434447  3219232.5252884738    1.4012    4.1725    5.8467  
487705.000000  30.5100283018  114.3560556666  39.7675489429  -2268150.9887241246  5010322.0835836800  3219232.5999003532    1.4011    4.2160    5.9070  
487706.000000  30.5100291266  114.3560557360  39.9359394507  -2268151.0354804033  5010322.1707076225  3219232.7641689866    1.4010    4.3175    6.0487  
487707.000000  30.5100282937  114.3560556445  39.7443984877  -2268150.9787538908  5010322.0667027710  3219232.5873754048    1.4008    4.2073    5.8937  
487708.000000  30.5100285791  114.3560556325  39.7937275125  -2268150.9886135808  5010322.0912590036  3219232.6396761974    1.4007    4.2395    5.9382  
487709.000000  30.5100280007  114.3560555885  39.6646664478  -2268150.9523357367  5010322.0213619443  3219232.5189098855    1.4006    4.1670    5.8360  
487710.000000  30.5100280295  114.3560555702  39.6700428976  -2268150.9519751878  5010322.0248285318  3219232.5243930751    1.4004    4.1687    5.8380  
487711.000000  30.5100279507  114.3560556058  39.6393484240  -2268150.9460145216  5010322.0033682613  3219232.5012820004    1.4003    4.1485    5.8091  
487712.000000  30.5100274869  114.3560555521  39.5315762376  -2268150.9137888975  5010321.9446925167  3219232.4022650388    1.4001    4.0844    5.7188  
487713.000000  30.5100276714  114.3560555850  39.5587577727  -2268150.9220391647  5010321.9552653432  3219232.4336857530    1.4000    4.1018    5.7425  
487714.000000  30.5100273639  114.3560555072  39.4912901167  -2268150.8983988804  5010321.9211569838  3219232.3700685590    1.3999    4.0571    5.6794  
487715.000000  30.5100267094  114.3560554663  39.3420430114  -2268150.8569933423  5010321.8391961930  3219232.2317801714    1.3997    3.9728    5.5608  
487716.000000  30.5100266409  114.3560554293  39.3112344379  -2268150.8443944650  5010321.8199916948  3219232.2096027615    1.3996    3.9585    5.5403  
487717.000000  30.5100263759  114.3560553436  39.2476388775  -2268150.8204588178  5010321.7870556153  3219232.1520068906    1.3994    3.9214    5.4878  
487718.000000  30.5100266970  114.3560553278  39.3132416205  -2268150.8349296357  5010321.8227084549  3219232.2159802685    1.3993    3.9565    5.5363  
487719.000000  30.5100267354  114.3560553302  39.3054957977  -2268150.8314989558  5010321.8145678621  3219232.2157091708    1.3992    3.9514    5.5287  
487720.000000  30.5100267387  114.3560552400  39.2970136562  -2268150.8205201230  5010321.8113130461  3219232.2117171050    1.3990    3.9462    5.5208  
487721.000000  30.5100266833  114.3560552266  39.2769404817  -2268150.8135017543  5010321.7989248149  3219232.1962421848    1.3989    3.9326    5.5013  
487722.000000  30.5100267191  114.3560552005  39.2689271728  -2268150.8075441266  5010321.7918360764  3219232.1955865705    1.3988    3.9294    5.4963  
487723.000000  30.5100267915  114.3560552065  39.2764224419  -2268150.8090513060  5010321.7937645502  3219232.2063139505    1.3986    3.9353    5.5040  
487724.000000  30.5100266926  114.3560552017  39.2331845621  -2268150.7955609909  5010321.7650932046  3219232.1749135894    1.3985    3.9157    5.4761  
487725.000000  30.5100264130  114.3560551429  39.1693956144  -2268150.7742491905  5010321.7316891216  3219232.1158240223    1.3983    3.8822    5.4287  
487726.000000  30.5100265963  114.3560551414  39.1992821740  -2268150.7804825837  5010321.7458040453  3219232.1485084342    1.3982    3.8925    5.4425  
487727.000000  30.5100268143  114.3560551997  39.2463025432  -2268150.7972228653  5010321.7692262270  3219232.1931996844    1.3981    3.9158    5.4745  
487728.000000  30.5100270852  114.3560552100  39.2964955289  -2268150.8096760698  5010321.7943234509  3219232.2445508232    1.3979    3.9400    5.5078  
487729.000000  30.5100270985  114.3560551895  39.3006483689  -2268150.8090431965  5010321.7977118939  3219232.2479352523    1.3978    3.9386    5.5054  
487730.000000  30.5100273231  114.3560551588  39.3556467909  -2268150.8206891823  5010321.8305790024  3219232.2973047551    1.3977    3.9687    5.5469  
487731.000000  30.5100271923  114.3560552181  39.3199034072  -2268150.8162150783  5010321.8068838669  3219232.2666634284    1.3975    3.9460    5.5146  
487732.000000  30.5100273237  114.3560552590  39.3511184463  -2268150.8278300031  5010321.8230234766  3219232.2950682449    1.3974    3.9572    5.5297  
487733.000000  30.5100275421  114.3560552651  39.4069613041  -2268150.8431344470  5010321.8554165009  3219232.3442735956    1.3972    3.9777    5.5578  
487734.000000  30.5100276342  114.3560552482  39.4191501942  -2268150.8438454652  5010321.8609283306  3219232.3592635365    1.3971    3.9865    5.5696  
487735.000000  30.5100277017  114.3560552732  39.4272777867  -2268150.8473559390  5010321.8628557278  3219232.3698360715    1.3970    3.9920    5.5768  
487736.000000  30.5100279074  114.3560553077  39.4683054015  -2268150.8601726284  5010321.8831466958  3219232.4103099555    1.3968    4.0132    5.6057  
487737.000000  30.5100279125  114.3560553023  39.4676937917  -2268150.8593646837  5010321.8826222289  3219232.4104815014    1.3967    4.0162    5.6095  
487738.000000  30.5100278747  114.3560553235  39.4546879260  -2268150.8574784026  5010321.8735095253  3219232.4002716397    1.3966    3.9995    5.5856  
487739.000000  30.5100279940  114.3560553900  39.4847611142  -2268150.8712123348  5010321.8883616179  3219232.4269348076    1.3964    4.0087    5.5979  
487740.000000  30.5100279834  114.3560554137  39.4734841818  -2268150.8695174982  5010321.8791209757  3219232.4201942496    1.3963    4.0006    5.5860  
487741.000000  30.5100280458  114.3560554205  39.4814885249  -2268150.8715079264  5010321.8819310488  3219232.4302232447    1.3962    4.0053    5.5920  
487742.000000  30.5100282698  114.3560554528  39.5155053493  -2268150.8812227980  5010321.8958637007  3219232.4688883615    1.3960    4.0250    5.6190  
487743.000000  30.5100283418  114.3560554931  39.5210335981  -2268150.8850377435  5010321.8949167542  3219232.4785714634    1.3959    4.0285    5.6233  
487744.000000  30.5100283710  114.3560555336  39.5151751842  -2268150.8858215427  5010321.8872198313  3219232.4783826307    1.3957    4.0242    5.6167  
487745.000000  30.5100284490  114.3560555321  39.5167192789  -2268150.8844316537  5010321.8844922474  3219232.4866134715    1.3956    4.0304    5.6248  
487746.000000  30.5100284417  114.3560555482  39.5074506374  -2268150.8827124727  5010321.8769555315  3219232.4812115114    1.3955    4.0237    5.6150  
487747.000000  30.5100284542  114.3560555614  39.4921249971  -2268150.8781321086  5010321.8637608886  3219232.4746283013    1.3953    4.0116    5.5975  
487748.000000  30.5100284838  114.3560556106  39.4857982369  -2268150.8794984664  5010321.8553294521  3219232.4742447841    1.3952    4.0076    5.5913  
487749.000000  30.5100285447  114.3560556720  39.4971375521  -2268150.8874854650  5010321.8586754194  3219232.4858175628    1.3951    4.0056    5.5880  
